t, pose_x, pose_y, pose_theta, headingRadians, raw_gyro, poseErrorX, poseErrorY, poseErrorTheta
3.75125, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
3.771124, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
3.790581, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
3.811691, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
3.830582, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
3.851783, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
3.870094, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
3.891139, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
3.910836, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
3.930654, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
3.950688, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
3.97021, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
3.990488, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.009981, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.030055, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.050409, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.070246, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.090569, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.110567, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.131276, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.151344, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.171306, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.190299, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.210136, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.23021, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.250908, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.270366, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.29068, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.309931, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.331409, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.349836, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.370717, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.390699, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.410571, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.429794, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.450163, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.470557, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.489911, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.510078, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.531104, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.550735, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.570059, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.590288, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.610588, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.630214, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.650272, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.670455, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.689943, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.710779, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.730473, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.750057, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.771092, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.790604, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.810526, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.829911, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.850682, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.8698, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.889934, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.910806, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.930567, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.950295, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.970702, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
4.990787, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.010669, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.030198, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.051, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.070272, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.090533, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.110965, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.130796, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.150583, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.170641, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.19056, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.210548, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.23025, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.250477, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.271714, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.291533, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.310293, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.330092, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.350646, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.371923, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.390303, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.411753, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.429816, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.450518, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.4721, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.491536, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.510365, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.530324, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.549908, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.570109, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.590755, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.610334, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.631287, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.650434, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.670651, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.690113, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
5.710287, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0
